Pos,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,DP,BA,OBP,SLG,OPS,OPS+,team,year,leauge,pit_bat
SP,Hilton Smith,31.0,22.0,58.0,57.0,8.0,21.0,6.0,0.0,3.0,13.0,0.0,,0.0,,,0.0,1.0,,,0.368,0.368,0.632,1.0,189.0,KCM,1938,2,bat
SP,Floyd Kranson,24.0,12.0,21.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,1.0,,,0.21100000000000002,0.25,0.21100000000000002,0.461,35.0,KCM,1938,2,bat
SP,Frank Bradley,20.0,11.0,19.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.053,0.053,0.053,0.105,-69.0,KCM,1938,2,bat
SP,Vet Barnes^,,7.0,16.0,15.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0,,0.0,,,0.0,1.0,,,0.2,0.2,0.267,0.467,35.0,KCM,1938,2,bat
RP,Johnny Markham,29.0,12.0,14.0,13.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,,0.0,,,0.0,1.0,,,0.231,0.231,0.308,0.5379999999999999,56.0,KCM,1938,2,bat
SP,Lefty Moses^,23.0,5.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.111,0.111,0.111,0.222,-35.0,KCM,1938,2,bat
SP,Andy Cooper,42.0,3.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996,-3.0,KCM,1938,2,bat
SP,Blackburn^,,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,-100.0,KCM,1938,2,bat
RP,Eugene Bremer,21.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,1.0,,,0.0,0.5,0.0,0.5,53.0,KCM,1938,2,bat
SP,Big Train Jackson*,21.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,-100.0,KCM,1938,2,bat
RP,McLemore^,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,KCM,1938,2,bat
RP,Parker^,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,KCM,1938,2,bat
C,Ted Radcliffe,41.0,18.0,73.0,69.0,10.0,13.0,2.0,0.0,0.0,9.0,0.0,,2.0,,,,2.0,,,0.188,0.21100000000000002,0.217,0.429,38.0,BBB,1944,2,bat
1B,Piper Davis,26.0,24.0,96.0,91.0,10.0,19.0,3.0,1.0,2.0,12.0,0.0,,5.0,,,,0.0,,,0.209,0.25,0.33,0.58,86.0,BBB,1944,2,bat
2B,Tommy Sampson,31.0,21.0,85.0,76.0,15.0,26.0,4.0,2.0,0.0,11.0,2.0,,6.0,,,,3.0,,,0.342,0.39,0.447,0.838,169.0,BBB,1944,2,bat
3B,John Britton*,25.0,24.0,103.0,97.0,12.0,32.0,3.0,2.0,1.0,16.0,1.0,,5.0,,,,1.0,,,0.33,0.363,0.433,0.7959999999999999,156.0,BBB,1944,2,bat
SS,Artie Wilson*,23.0,22.0,101.0,95.0,17.0,40.0,4.0,4.0,0.0,15.0,1.0,,6.0,,,,0.0,,,0.42100000000000004,0.455,0.547,1.003,222.0,BBB,1944,2,bat
LF,Lester Lockett,32.0,18.0,65.0,60.0,6.0,12.0,3.0,0.0,0.0,9.0,1.0,,4.0,,,,1.0,,,0.2,0.25,0.25,0.5,61.0,BBB,1944,2,bat
CF,Felix McLaurin**,22.0,21.0,93.0,84.0,12.0,21.0,0.0,1.0,1.0,7.0,3.0,,7.0,,,,2.0,,,0.25,0.308,0.31,0.617,99.0,BBB,1944,2,bat
RF,Ed Steele*,27.0,23.0,96.0,83.0,17.0,26.0,4.0,3.0,2.0,17.0,3.0,,10.0,,,,3.0,,,0.313,0.387,0.506,0.893,187.0,BBB,1944,2,bat
1B,Leroy Morney**,35.0,12.0,35.0,31.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,,3.0,,,,1.0,,,0.258,0.324,0.29,0.614,98.0,BBB,1944,2,bat
LF,Leandy Young,35.0,9.0,32.0,31.0,3.0,10.0,2.0,0.0,0.0,1.0,0.0,,0.0,,,,1.0,,,0.32299999999999995,0.32299999999999995,0.387,0.71,128.0,BBB,1944,2,bat
C,Pepper Bassett**,33.0,6.0,20.0,20.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,,,,0.0,,,0.1,0.1,0.1,0.2,-36.0,BBB,1944,2,bat
1B,Harrington^,,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
LF,Johnny Scott*,30.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
PH,Taylor^,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
PH,English^,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
SP,Alfred Saylor**,32.0,11.0,26.0,25.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,1.0,,,0.12,0.12,0.16,0.28,-10.0,BBB,1944,2,bat
SP,Alvin Gipson,30.0,8.0,21.0,21.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,,0.0,,,,0.0,,,0.23800000000000002,0.23800000000000002,0.23800000000000002,0.47600000000000003,53.0,BBB,1944,2,bat
SP,John Huber*,36.0,6.0,14.0,14.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.214,0.214,0.28600000000000003,0.5,60.0,BBB,1944,2,bat
SP,Fay Washington^,29.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
SP,Dan Bankhead,24.0,2.0,5.0,5.0,4.0,4.0,0.0,1.0,0.0,3.0,0.0,,0.0,,,,0.0,,,0.8,0.8,1.2,2.0,540.0,BBB,1944,2,bat
SP,Alonzo Boone,36.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
SP,Earl Bumpus*,30.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
SP,Gready McKinnis,30.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
SP,Specs Ellis^,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,,,0.0,0.5,0.0,0.5,65.0,BBB,1944,2,bat
SP,Claude Hunter^,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
RP,Johnny Markham,35.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
RP,Jimmie Newberry,25.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,BBB,1944,2,bat
RP,Pee Wee Jenkins,21.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,BBB,1944,2,bat
PH,Williams^,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,2,bat
C,Ted Radcliffe,41.0,5.0,20.0,19.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,1.0,0.0,,0.21100000000000002,0.21100000000000002,0.21100000000000002,0.42100000000000004,42.0,BBB,1944,3,bat
1B,Leroy Morney**,35.0,5.0,20.0,19.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,1.0,,0.105,0.1,0.105,0.205,-31.0,BBB,1944,3,bat
2B,Piper Davis,26.0,5.0,22.0,22.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,,0.0,,,0.0,0.0,0.0,,0.182,0.182,0.182,0.364,23.0,BBB,1944,3,bat
3B,John Britton*,25.0,3.0,13.0,13.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,,0.154,0.154,0.154,0.308,4.0,BBB,1944,3,bat
SS,Artie Wilson*,23.0,5.0,23.0,20.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,,2.0,,,1.0,0.0,0.0,,0.25,0.348,0.25,0.598,101.0,BBB,1944,3,bat
LF,Lester Lockett,32.0,5.0,19.0,19.0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,,0.0,,,0.0,0.0,0.0,,0.316,0.316,0.368,0.684,131.0,BBB,1944,3,bat
CF,Felix McLaurin**,22.0,5.0,23.0,19.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,,4.0,,,0.0,0.0,0.0,,0.158,0.304,0.21100000000000002,0.515,73.0,BBB,1944,3,bat
RF,Ed Steele*,27.0,5.0,21.0,19.0,3.0,7.0,3.0,0.0,0.0,2.0,0.0,,2.0,,,0.0,0.0,0.0,,0.368,0.429,0.526,0.955,222.0,BBB,1944,3,bat
LF,Al Jones,,3.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,3,bat
SP,John Huber*,36.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.2,0.2,0.2,0.4,35.0,BBB,1944,3,bat
SP,Johnny Markham,35.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.2,0.2,0.2,0.4,35.0,BBB,1944,3,bat
SP,Alfred Saylor**,32.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,0.0,,0.0,0.25,0.0,0.25,-17.0,BBB,1944,3,bat
SP,Earl Bumpus*,30.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-100.0,BBB,1944,3,bat
RP,Alonzo Boone,36.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.5,0.5,0.5,1.0,237.0,BBB,1944,3,bat
C,Quincy Trouppe**,32.0,13.0,45.0,38.0,7.0,7.0,0.0,0.0,1.0,5.0,1.0,,7.0,,,0.0,0.0,,,0.184,0.311,0.263,0.574,71.0,CBE,1945,2,bat
1B,Archie Ware*,27.0,15.0,65.0,61.0,8.0,17.0,1.0,1.0,0.0,11.0,0.0,,3.0,,,0.0,1.0,,,0.27899999999999997,0.313,0.32799999999999996,0.64,90.0,CBE,1945,2,bat
2B,Johnnie Cowan,32.0,15.0,61.0,58.0,5.0,15.0,0.0,0.0,0.0,5.0,0.0,,1.0,,,0.0,2.0,,,0.259,0.271,0.259,0.53,57.0,CBE,1945,2,bat
3B,Parnell Woods,33.0,15.0,64.0,59.0,10.0,13.0,3.0,0.0,0.0,7.0,4.0,,2.0,,,2.0,1.0,,,0.22,0.27,0.271,0.541,61.0,CBE,1945,2,bat
SS,Avelino CaÃ±izares,25.0,15.0,70.0,63.0,13.0,23.0,6.0,0.0,1.0,8.0,3.0,,7.0,,,0.0,0.0,,,0.365,0.429,0.508,0.937,177.0,CBE,1945,2,bat
LF,Buddy Armour*,30.0,12.0,47.0,45.0,5.0,12.0,0.0,2.0,0.0,3.0,0.0,,1.0,,,0.0,1.0,,,0.267,0.28300000000000003,0.35600000000000004,0.638,88.0,CBE,1945,2,bat
CF,Sam Jethroe**,28.0,16.0,69.0,59.0,11.0,20.0,5.0,4.0,0.0,14.0,5.0,,9.0,,,1.0,0.0,,,0.33899999999999997,0.435,0.5589999999999999,0.9940000000000001,193.0,CBE,1945,2,bat
RF,Willie Grace**,28.0,12.0,49.0,46.0,4.0,14.0,0.0,0.0,0.0,7.0,0.0,,2.0,,,0.0,1.0,,,0.304,0.33299999999999996,0.304,0.638,90.0,CBE,1945,2,bat
RF,Lloyd Davenport*,33.0,10.0,45.0,42.0,6.0,11.0,2.0,1.0,0.0,6.0,1.0,,3.0,,,0.0,0.0,,,0.262,0.311,0.35700000000000004,0.6679999999999999,98.0,CBE,1945,2,bat
LF,Earl Ashby,24.0,8.0,28.0,25.0,2.0,6.0,1.0,0.0,0.0,3.0,0.0,,3.0,,,0.0,0.0,,,0.24,0.321,0.28,0.601,79.0,CBE,1945,2,bat
C,Jesse Williams*,22.0,4.0,12.0,11.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,,1.0,,,0.0,0.0,,,0.182,0.25,0.182,0.43200000000000005,29.0,CBE,1945,2,bat
2B,Billy Horne,29.0,2.0,8.0,8.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,,,0.0,0.0,,,0.125,0.125,0.125,0.25,-26.0,CBE,1945,2,bat
2B,Sam Bankhead,34.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.25,0.25,0.25,0.5,48.0,CBE,1945,2,bat
CF,Jerry Benjamin**,35.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.0,0.0,,,0.33299999999999996,0.5,0.667,1.167,244.0,CBE,1945,2,bat
PH,Breese^,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,-100.0,CBE,1945,2,bat
SP,Eugene Bremer,28.0,8.0,25.0,23.0,6.0,7.0,2.0,1.0,0.0,3.0,0.0,,2.0,,,0.0,0.0,,,0.304,0.36,0.478,0.838,147.0,CBE,1945,2,bat
SP,George Jefferson,22.0,9.0,23.0,22.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,,0.0,,,0.0,1.0,,,0.182,0.182,0.273,0.455,33.0,CBE,1945,2,bat
RP,Willie Jefferson,40.0,4.0,10.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,,1.0,,,0.0,0.0,,,0.222,0.3,0.222,0.522,56.0,CBE,1945,2,bat
SP,John Brown,26.0,2.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996,-1.0,CBE,1945,2,bat
SP,Satchel Davis,26.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.0,0.0,,,0.33299999999999996,0.5,0.667,1.167,244.0,CBE,1945,2,bat
RP,Lovell Harden,27.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,-100.0,CBE,1945,2,bat
RP,Rayford Finch^,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,CBE,1945,2,bat
PH,Provens^,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,1.0,1.0,1.0,2.0,494.0,CBE,1945,2,bat
C,Quincy Trouppe**,32.0,4.0,16.0,15.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,,,0.4,0.43799999999999994,0.6,1.038,293.0,CBE,1945,3,bat
1B,Archie Ware*,27.0,4.0,17.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,,,0.0,0.0,,,0.133,0.235,0.133,0.369,38.0,CBE,1945,3,bat
2B,Johnnie Cowan,32.0,4.0,15.0,12.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,,1.0,,,0.0,2.0,,,0.16699999999999998,0.231,0.16699999999999998,0.397,49.0,CBE,1945,3,bat
3B,Parnell Woods,33.0,4.0,16.0,15.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,,1.0,,,0.0,0.0,,,0.133,0.188,0.133,0.321,21.0,CBE,1945,3,bat
SS,Avelino CaÃ±izares,25.0,4.0,17.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,1.0,,,0.2,0.25,0.2,0.45,69.0,CBE,1945,3,bat
LF,Buddy Armour*,30.0,4.0,15.0,13.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,,2.0,,,0.0,0.0,,,0.308,0.4,0.385,0.785,196.0,CBE,1945,3,bat
CF,Sam Jethroe**,28.0,4.0,17.0,15.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,,2.0,,,0.0,0.0,,,0.267,0.353,0.4,0.753,185.0,CBE,1945,3,bat
RF,Willie Grace**,28.0,4.0,16.0,16.0,2.0,5.0,0.0,0.0,1.0,3.0,0.0,,0.0,,,0.0,0.0,,,0.313,0.313,0.5,0.813,209.0,CBE,1945,3,bat
SP,Frank Carswell,24.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,-100.0,CBE,1945,3,bat
SP,Willie Jefferson,40.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,-100.0,CBE,1945,3,bat
SP,Eugene Bremer,28.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,,0.0,,,0.0,0.0,,,0.667,0.667,1.0,1.6669999999999998,533.0,CBE,1945,3,bat
SP,George Jefferson,22.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,-100.0,CBE,1945,3,bat
